Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Aloyna ,Sophia ,Yegor,Olya,Valentina,Katya,Ksyusha,Lada,Natasha,Revmira ,Oksana,Marina,Chegga ,Lilia,Alla
1,Zavoyko Earthquake,1952-11-05,1952-11-05,F,3rd-person,5,5,,,,,,google ,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,Zavoyko Earthquake,1952-11-05,1952-11-05,F,3rd-person,6,6,,,,,,google ,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,Zavoyko Earthquake,1952-11-05,1952-11-05,F,3rd-person,7,7,,,,,,google ,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,Zavoyko Earthquake,1952-11-05,1952-11-05,F,3rd-person,16,16,,,,,,google ,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2,Soviet Union Collapse,1991-08-18,1991-12-26,F,3rd-person,24,24,,,,,,google ,"Katya, Olya, Revmira, and Valentina",F,F,F,T,T,T,F,F,F,T,F,F,F,F,F
2,Soviet Union Collapse,1991-08-18,1991-12-26,F,3rd-person,39,39,,,,,,google ,"Katya, Olya, Revmira, and Valentina",F,F,F,T,T,T,F,F,F,T,F,F,F,F,F
2,Soviet Union Collapse,1991-08-18,1991-12-26,F,3rd-person,141,141,,,,,,google ,"Katya, Olya, Revmira, and Valentina",F,F,F,T,T,T,F,F,F,T,F,F,F,F,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,73,73,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,74,74,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,75,75,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,80,80,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,109,109,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
